Wall time,Step,Value
1535715412.7499325,0,0.4230017364025116
1535715418.8697112,1,0.11974767595529556
1535715424.9737964,2,0.0828200951218605
1535715430.9529312,3,0.06536880880594254
1535715437.0394347,4,0.05739041045308113
1535715443.0910678,5,0.05469318479299545
1535715449.1597102,6,0.048143673688173294
1535715455.2065663,7,0.043128129094839096
1535715461.2231133,8,0.040713146328926086
1535715467.2777689,9,0.04025649279356003
1535715473.3629365,10,0.03647807240486145
1535715479.4836338,11,0.03774620592594147
1535715485.590926,12,0.03899475932121277
1535715491.6224663,13,0.037560902535915375
1535715497.6725724,14,0.035483669489622116
1535715503.748999,15,0.03705597668886185
1535715509.7964156,16,0.036638256162405014
1535715515.8207083,17,0.03815718740224838
1535715521.8842669,18,0.03705500438809395
1535715527.9031856,19,0.03540843725204468
